result_kind,workload_id,workload,variant,repeat,seed,json,csv,log,measured_ops_per_sec,measured_seconds,elapsed_seconds,run_mean_p95_ms,predicted_hot_dirs,predicted_eval_hot_dirs,predicted_eval_cold_dirs,predicted_hot_dir_precision,total_promotions,promoted_hot,promoted_cold,layout_failures
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,predictor,4,9104,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor__r4.json,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor__r4.csv,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor__r4.log,1182.456655,20.296727,20.424575,1.8800043333333332,14,4,10,0.285714,0,0,0,0
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,predictor_nolearn,0,9100,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor_nolearn__r0.json,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor_nolearn__r0.csv,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor_nolearn__r0.log,11094.528546,2.163228,2.515258,0.6418926666666667,0,0,0,0.0,0,0,0,0
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,predictor_nolearn,1,9101,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor_nolearn__r1.json,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor_nolearn__r1.csv,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor_nolearn__r1.log,9620.316145,2.494721,2.928576,0.7065798333333334,0,0,0,0.0,0,0,0,0
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,predictor_nolearn,2,9102,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor_nolearn__r2.json,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor_nolearn__r2.csv,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor_nolearn__r2.log,10054.502235,2.38699,2.585489,0.7070896666666666,0,0,0,0.0,0,0,0,0
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,predictor_nolearn,3,9103,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor_nolearn__r3.json,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor_nolearn__r3.csv,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor_nolearn__r3.log,9767.395984,2.457154,2.912619,0.7369936666666667,0,0,0,0.0,0,0,0,0
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,predictor_nolearn,4,9104,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor_nolearn__r4.json,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor_nolearn__r4.csv,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor_nolearn__r4.log,9797.709685,2.449552,2.994864,0.6740505,0,0,0,0.0,0,0,0,0
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,native,0,9100,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__native__r0.json,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__native__r0.csv,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__native__r0.log,121.123079,202.108469,203.65142,122.3185445,,,,,,,,0
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,native,1,9101,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__native__r1.json,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__native__r1.csv,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__native__r1.log,146.466869,167.136774,168.920391,120.69821350000001,,,,,,,,0
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,native,2,9102,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__native__r2.json,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__native__r2.csv,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__native__r2.log,150.011057,163.187971,165.161272,99.27915175,,,,,,,,0
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,native,3,9103,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__native__r3.json,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__native__r3.csv,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__native__r3.log,157.391762,155.535459,157.715132,103.92485,,,,,,,,0
