cold_access_fraction,cold_fraction,csv,json,log,repeat,scenario,seed,variant,wall_seconds,measured_ops_per_sec,measured_seconds,elapsed_seconds,physical_namespace_entries_estimate,physical_files_created_estimate,packed_create_fraction,index_flushes,data_flushes,layout_xattrs_attempted,layout_xattrs_applied,layout_xattr_failures
0.0,0.9,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access0__hybrid_layout__r2.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access0__hybrid_layout__r2.json,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access0__hybrid_layout__r2.log,2,cold90_access0,1002,hybrid_layout,48.26022,513.823553,46.708641,46.984143,1809,1802,0.6,12,11,6,6,0
0.1,0.9,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access10__hybrid_layout__r1.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access10__hybrid_layout__r1.json,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access10__hybrid_layout__r1.log,1,cold90_access10,1001,hybrid_layout,38.237295,653.194408,36.742507,36.991603,1809,1802,0.6,12,11,6,6,0
0.2,0.9,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access20__hybrid__r0.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access20__hybrid__r0.json,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access20__hybrid__r0.log,0,cold90_access20,1000,hybrid,20.598414,1250.383741,19.194108,19.341787,1809,1802,0.6,12,11,0,0,0
0.1,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__native__r0.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__native__r0.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__native__r0.log,0,cold70_access10,1000,native,78.471706,312.188834,76.876548,77.219638,4565,4500,0.0,,,,,0
0.2,0.9,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access20__native__r0.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access20__native__r0.json,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access20__native__r0.log,0,cold90_access20,1000,native,58.767596,420.918328,57.018187,57.517406,4565,4500,0.0,,,,,0
0.2,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__hybrid__r1.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__hybrid__r1.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__hybrid__r1.log,1,cold70_access20,1001,hybrid,20.653097,1329.611525,18.050385,19.390176,2409,2402,0.466667,10,9,0,0,0
0.1,0.9,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access10__hybrid__r2.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access10__hybrid__r2.json,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access10__hybrid__r2.log,2,cold90_access10,1002,hybrid,59.152566,415.750705,57.726902,57.894376,1809,1802,0.6,12,11,0,0,0
0.1,0.9,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access10__native__r2.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access10__native__r2.json,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access10__native__r2.log,2,cold90_access10,1002,native,71.254703,347.513918,69.061982,69.987391,4565,4500,0.0,,,,,0
0.2,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__hybrid_layout__r0.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__hybrid_layout__r0.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__hybrid_layout__r0.log,0,cold70_access20,1000,hybrid_layout,39.169752,637.103589,37.670483,37.905324,2409,2402,0.466667,10,9,6,6,0
0.1,0.9,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access10__hybrid_layout__r0.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access10__hybrid_layout__r0.json,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access10__hybrid_layout__r0.log,0,cold90_access10,1000,hybrid_layout,13.787635,1945.143902,12.338419,12.533978,1809,1802,0.6,12,11,6,6,0
0.2,0.9,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access20__native__r2.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access20__native__r2.json,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access20__native__r2.log,2,cold90_access20,1002,native,63.328956,391.105317,61.364545,62.050758,4565,4500,0.0,,,,,0
0.0,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__hybrid_layout__r2.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__hybrid_layout__r2.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__hybrid_layout__r2.log,2,cold70_access0,1002,hybrid_layout,56.281672,439.724791,54.579593,55.00777,2409,2402,0.466667,10,9,6,6,0
