workload_id,workload,variant,repeat,seed,json,csv,log,measured_ops_per_sec,measured_seconds,elapsed_seconds,run_mean_p95_ms,namespace_entries,packed_create_fraction,total_promotions,promoted_hot,promoted_cold,predicted_hot_dirs,layout_failures
ior_mdtest_tree,mdtest_tree,native,0,8000,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__native__r0.json,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__native__r0.csv,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__native__r0.log,1714.414263,6.999475,13.153247,2.59048875,3065,0.0,0,0,0,0,0
ior_mdtest_tree,mdtest_tree,native,1,8001,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__native__r1.json,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__native__r1.csv,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__native__r1.log,3696.957326,3.245913,5.465793,2.3147365,3065,0.0,0,0,0,0,0
ior_mdtest_tree,mdtest_tree,native,2,8002,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__native__r2.json,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__native__r2.csv,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__native__r2.log,1825.276526,6.574346,12.67136,2.67834925,3065,0.0,0,0,0,0,0
ior_mdtest_tree,mdtest_tree,oracle,0,8000,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__oracle__r0.json,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__oracle__r0.csv,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__oracle__r0.log,11591.815321,1.035213,1.326874,0.838471,69,1.0,0,0,0,0,0
ior_mdtest_tree,mdtest_tree,oracle,1,8001,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__oracle__r1.json,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__oracle__r1.csv,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__oracle__r1.log,12815.008761,0.936402,1.240802,0.75462125,69,1.0,0,0,0,0,0
ior_mdtest_tree,mdtest_tree,oracle,2,8002,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__oracle__r2.json,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__oracle__r2.csv,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__oracle__r2.log,13906.165094,0.862927,1.396777,0.66452275,69,1.0,0,0,0,0,0
ior_mdtest_tree,mdtest_tree,predictor,0,8000,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__predictor__r0.json,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__predictor__r0.csv,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__predictor__r0.log,13030.886572,0.920889,1.36794,0.75396725,69,1.0,0,0,0,0,0
ior_mdtest_tree,mdtest_tree,predictor,1,8001,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__predictor__r1.json,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__predictor__r1.csv,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__predictor__r1.log,13267.889219,0.904439,1.193944,0.7095575,69,1.0,0,0,0,0,0
ior_mdtest_tree,mdtest_tree,predictor,2,8002,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__predictor__r2.json,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__predictor__r2.csv,results/cloudlab-comprehensive-20260506-3x/ior_mdtest_tree__predictor__r2.log,11086.21062,1.082426,1.494445,0.86867125,69,1.0,0,0,0,0,0
ycsb_zipf_hotdirs,hotdirs_zipf,native,0,8000,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__native__r0.json,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__native__r0.csv,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__native__r0.log,282.79464,31.825214,32.129227,18.239435333333333,3065,0.0,0,0,0,0,0
ycsb_zipf_hotdirs,hotdirs_zipf,native,1,8001,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__native__r1.json,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__native__r1.csv,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__native__r1.log,373.08322,24.123304,24.521693,17.18657766666667,3065,0.0,0,0,0,0,0
ycsb_zipf_hotdirs,hotdirs_zipf,native,2,8002,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__native__r2.json,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__native__r2.csv,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__native__r2.log,308.905741,29.135101,29.754827,43.829617000000006,3065,0.0,0,0,0,0,0
ycsb_zipf_hotdirs,hotdirs_zipf,oracle,0,8000,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__oracle__r0.json,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__oracle__r0.csv,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__oracle__r0.log,393.880371,22.849577,23.007334,4.236814666666667,2489,0.193333,0,0,0,0,0
ycsb_zipf_hotdirs,hotdirs_zipf,oracle,1,8001,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__oracle__r1.json,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__oracle__r1.csv,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__oracle__r1.log,424.98335,21.1773,21.709382,4.216262333333333,2502,0.189,0,0,0,0,0
ycsb_zipf_hotdirs,hotdirs_zipf,oracle,2,8002,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__oracle__r2.json,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__oracle__r2.csv,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__oracle__r2.log,387.882185,23.202922,23.501702,4.3313223333333335,2464,0.201667,0,0,0,0,0
ycsb_zipf_hotdirs,hotdirs_zipf,predictor,0,8000,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__predictor__r0.json,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__predictor__r0.csv,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__predictor__r0.log,13877.972043,0.64851,0.940865,0.6164506666666667,69,1.0,0,0,0,0,0
ycsb_zipf_hotdirs,hotdirs_zipf,predictor,1,8001,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__predictor__r1.json,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__predictor__r1.csv,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__predictor__r1.log,15862.483743,0.567376,0.728793,0.5993113333333333,69,1.0,0,0,0,0,0
ycsb_zipf_hotdirs,hotdirs_zipf,predictor,2,8002,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__predictor__r2.json,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__predictor__r2.csv,results/cloudlab-comprehensive-20260506-3x/ycsb_zipf_hotdirs__predictor__r2.log,14735.113906,0.610786,0.755157,0.5951179999999999,69,1.0,0,0,0,0,0
